ts_code,trade_date,is_bull,ma_cv_10,atr_pct,vol_ratio,pct_chg,turnover_rate,total_mv,pe_ttm,pb,ret_5,ret_10,ret_20,mv_bin,pct_bin,vr_bin
000026.SZ,2024-08-29,0,0.00875990765634738,0.022593943237672453,1.6145236381280237,2.2701,0.9746,365674.62,12.4837,1.103,-0.0033296337402884957,-0.023307436182019914,0.15760266370699227,小盘,2-3%,1.5-2
000026.SZ,2024-09-24,1,0.0032211605926452313,0.016369047619047592,1.5743872176343978,2.1277,1.1472,370139.01,12.6361,1.1165,0.20065789473684204,0.055921052631579204,0.13377192982456143,小盘,2-3%,1.5-2
000026.SZ,2024-09-26,1,0.004110302644971741,0.017401215805471104,1.5469433324299238,2.2851,1.2543,381502.93,13.0241,1.1508,0.07021276595744674,0.01382978723404249,0.15212765957446805,小盘,2-3%,1.5-2
000026.SZ,2024-09-27,1,0.005399351950494535,0.01908677139920715,2.57700166218371,3.5106,2.3103,394896.12,13.4813,1.1912,-0.0020554984583761593,0.008221993833504637,0.0698869475847892,小盘,3-5%,2-3
000026.SZ,2024-09-30,1,0.007975601858779702,0.022394192576359388,3.740780415202954,7.1942,3.901,423305.91,14.4512,1.2768,-0.056567593480345124,-0.06232023010546506,0.014381591562799612,小盘,>7%,3-5
000026.SZ,2025-02-27,1,0.012024546941071624,0.022333461686561407,3.3083341938316706,6.8138,5.1703,451615.33,17.0265,1.3401,-0.015274034141958714,-0.017070979335130354,0.0026954177897573484,小盘,5-7%,3-5
000026.SZ,2025-05-09,0,0.01513958357541953,0.022805507745266778,3.93012542374122,10.0379,6.1528,471497.77,24.7951,1.3662,0.03958691910499157,0.0791738382099827,0.12822719449225484,小盘,>7%,3-5
000027.SZ,2020-05-15,1,0.007331955697628711,0.015771637122002084,1.9875465869482463,2.0484,0.3987,2172541.39,14.0799,0.9117,-0.02919708029197088,0.0036496350364962904,-0.18613138686131392,中大,2-3%,1.5-2
000027.SZ,2020-10-09,0,0.012780749941347352,0.024608783442705683,2.392077324364588,5.597,0.6737,2692682.69,7.6714,1.0265,0.026501766784452263,-0.00883392226148405,-0.012367491166077826,大盘,5-7%,2-3
000027.SZ,2020-11-17,1,0.0077816624582891115,0.019308430085815224,2.0423827433170327,2.1661,0.5973,2692682.69,6.9333,0.9853,0.0035335689045936647,0.005300353356890497,-0.03710247349823326,大盘,2-3%,2-3
000027.SZ,2020-11-26,1,0.0054070926232131535,0.017675544794188848,3.3439109119902746,4.4248,1.2671,2806860.05,7.2273,1.0271,-0.05084745762711873,-0.06949152542372883,-0.016949152542372947,大盘,3-5%,3-5
000027.SZ,2020-12-18,1,0.010577685137724346,0.01760204081632653,1.5696010210518798,3.1308,0.6594,2664138.35,6.8598,0.9749,0.13928571428571423,0.1160714285714286,0.06071428571428594,大盘,3-5%,1.5-2
000027.SZ,2020-12-21,1,0.010719858074146788,0.018541562966650067,1.8341587929409673,2.5,0.7937,2730741.81,7.0313,0.9992,0.13414634146341453,0.04355400696864109,0.027874564459930307,大盘,2-3%,1.5-2
000027.SZ,2020-12-23,1,0.010661259031246682,0.021712311867752278,2.059788402943022,3.0249,0.9689,2754528.76,7.0926,1.0079,0.06735751295336789,0.032815198618307395,0.024179620034542326,大盘,3-5%,2-3
000027.SZ,2022-08-16,0,0.019467663451710967,0.022121945850759387,1.6954205938676468,2.3659,0.6229,3087546.05,19.6114,1.0956,0.036979969183358996,0.0030816640986131016,-0.023112480739599484,大盘,2-3%,1.5-2
000027.SZ,2022-08-19,0,0.0174064584861435,0.023524379811804955,2.325977480352534,2.7692,0.9345,3177936.46,20.1855,1.1277,-0.007485029940119681,-0.059880239520958,-0.12425149700598803,大盘,2-3%,2-3
000027.SZ,2022-11-23,0,0.017921091309800543,0.01811846689895474,2.423000790858676,2.6711,0.8442,2925794.79,21.3273,1.0377,0.0,-0.003252032520325243,-0.03739837398373991,大盘,2-3%,2-3
000027.SZ,2022-12-30,1,0.010694509266314888,0.023809523809523787,1.8141159886768052,4.0917,0.6191,3025699.98,22.0556,1.0731,-0.053459119496855445,-0.05660377358490576,-0.02672955974842761,大盘,3-5%,1.5-2
000027.SZ,2023-04-17,1,0.006909767703511117,0.013510520487264699,2.2912457295016604,2.057,0.662,3068516.49,14.0851,1.073,-0.02170542635658923,0.013953488372093092,0.055813953488371926,大盘,2-3%,2-3
000027.SZ,2023-05-11,0,0.014996709826829269,0.021221532091097315,1.760609479546914,3.4483,0.8583,3282599.04,14.1807,1.136,-0.013043478260869712,-0.0304347826086957,-0.036231884057971064,大盘,3-5%,1.5-2
